"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"Aphex Twin","T69 Collapse","Weirdcore","2018","Ars Electronica + Pitchfork Best","Glitch AI Typography"
"Radiohead","Daydreaming","Paul Thomas Anderson","2016","35mm Film + Critical Acclaim","Infinite Door Transition"
"Janelle Monáe","Pynk","Emma Westenberg","2018","Grammy Nom + Cultural Viral","Feminist Vulval Couture"
"Sia","Elastic Heart","Sia & Daniel Askill","2015","MTV Best Choreography Nom","Cage Match Performance Art"
"Residente","This is Not America","Grégory Ohrel","2022","Cannes Grand Prix + Ciclope","Political Symbolism Violence"
"Joyryde","IM GONE","Joyryde","2020","Promonews Best of Month","Hyper-Kinetic Car Editing"
"Millennium Parade","Trepanation","Ryoji Yamada","2021","Annecy Nom + Crunchyroll","Grotesque Anime Surrealism"
"Fever The Ghost","Source","Felix Colgrave","2015","Vimeo Staff Pick + Viral Animation","Psychedelic Character Loop"
"Tyler, The Creator","Who Dat Boy","Wolf Haley","2017","Director's Library + Aesthetics","diy Surgery Horror"
"NewJeans","Ditto (Side A/B)","Shin Woo-seok","2023","Clio Music Award + Trendsetter","Y2K VHS Nostalgia"
"Gesaffelstein","Reset","Manu Cossu","2019","Promonews Pick + Satire","Soundcloud Rapper Parody"
"Frank Ocean","Provider","Tom Sachs","2017","Fine Art Context + Minimalist","Hello Kitty Boombox Modification"
"The Weeknd","False Alarm","Ilya Naishuller","2016","UKMVA Best VFX + Viral","First-Person Shooter Heist"
"Lorn","Anvil","Geriko","2016","Vimeo Best Animation + 1.4 Awards","Black & White Cyberpunk Future"
"Salvatore Ganacci","Horse","Vedran Rupic","2019","Cannes Lions + Viral Comedy","Cruelty-Free Animal Humanoid"
"Paramore","This Is Why","Brendan Yates","2022","MTV Best Alt + Styling","70s Retro Cinematic Zoom"
"Björk","Atopos","Viðar Logi","2022","Pitchfork Best + Art Direction","Fungal Rave Aesthetics"
"Solange","Cranes in the Sky","Alan Ferguson & Solange","2016","Grammy Winner + Art Direction","Monochrome Landscape Tableau"
"Gorillaz","Saturnz Barz (360)","Jamie Hewlett","2017","Cannes Lions + Tech Innovation","360 VR Haunted House"
"XG","GRL GVNG","Cho Gi-Seok","2023","K-Design Award + Styling","Cyborg Fashion Editorial"
"SZA","Shirt","Dave Meyers","2022","UKMVA Best R&B Int + Narrative","Tarantino Style Noir"
"Flying Lotus","Never Catch Me","Hiro Murai","2015","UKMVA Nom + Director's Library","Dancing Funeral Kids"
"Tshegue","M'benga Lila","Ibrahim K","2020","1.4 Awards Gold","Kinetic Motorcycle Ritual"
"Brodinski","Can't Help Myself","Megaforce","2015","Vimeo Staff Pick + Technique","Analogue Visual Feedback"
"Dillon Francis & DJ Snake","Get Low","Mister Whitmore","2015","Vimeo Staff Pick + Simple Idea","Egyptian Tomb Choreography"
"Leon Bridges","River","Miles Jay","2016","Camerimage Nom + Documentary","Documentary Baltimore Soul"
"Slowthai","Doorman","The Rest","2019","NME Best Video + Energy","Trainspotting Punk Vibe"
"Billie Eilish","What Was I Made For?","Billie Eilish","2023","Oscar Winner + Minimalist","Doll Outfit Archive"
"Tommy Cash","X-RAY","Tommy Cash & Anna-Lisa Himma","2019","BMVA Best Art Direction","Post-Soviet Cult Aesthetics"
"Mark Ronson ft. Miley Cyrus","Nothing Breaks Like a Heart","We Are From LA","2018","UKMVA Best Pop Int Nom","One-Shot Car Chase"